Workout Name,Current Rep,Current Set,workout time
{'Standard Squarts'},0/15,1/4,{2.497921943664551}
{'Standard Squarts'},0/15,1/4,{2.5932159423828125}
{'Standard Squarts'},0/15,1/4,{2.6357262134552}
{'Standard Squarts'},0/15,1/4,{2.684134006500244}
{'Standard Squarts'},0/15,1/4,{2.727937698364258}
{'Standard Squarts'},0/15,1/4,{2.7755517959594727}
{'Standard Squarts'},0/15,1/4,{2.8217649459838867}
{'Standard Squarts'},0/15,1/4,{2.867856502532959}
{'Standard Squarts'},0/15,1/4,{2.9146604537963867}
{'Standard Squarts'},0/15,1/4,{2.960200071334839}
{'Standard Squarts'},0/15,1/4,{2.9995222091674805}
{'Standard Squarts'},0/15,1/4,{3.0426669120788574}
{'Standard Squarts'},0/15,1/4,{3.0880844593048096}
{'Standard Squarts'},0/15,1/4,{3.135265827178955}
{'Standard Squarts'},0/15,1/4,{3.1820621490478516}
{'Standard Squarts'},0/15,1/4,{3.23518705368042}
{'Standard Squarts'},0/15,1/4,{3.278905153274536}
{'Standard Squarts'},0/15,1/4,{3.3261842727661133}
{'Standard Squarts'},0/15,1/4,{3.372560501098633}
{'Standard Squarts'},0/15,1/4,{3.418440580368042}
{'Standard Squarts'},0/15,1/4,{3.4642162322998047}
{'Standard Squarts'},0/15,1/4,{3.511204957962036}
{'Standard Squarts'},0/15,1/4,{3.559009313583374}
{'Standard Squarts'},0/15,1/4,{3.6042368412017822}
{'Standard Squarts'},0/15,1/4,{3.651093006134033}
{'Standard Squarts'},0/15,1/4,{3.6996617317199707}
{'Standard Squarts'},0/15,1/4,{3.748542308807373}
{'Standard Squarts'},0/15,1/4,{3.7936837673187256}
{'Standard Squarts'},0/15,1/4,{3.840378522872925}
{'Standard Squarts'},0/15,1/4,{3.886932611465454}
{'Standard Squarts'},0/15,1/4,{3.9342212677001953}
{'Standard Squarts'},0/15,1/4,{3.9832727909088135}
{'Standard Squarts'},0/15,1/4,{4.029334545135498}
{'Standard Squarts'},0/15,1/4,{4.077432155609131}
{'Standard Squarts'},0/15,1/4,{4.121294975280762}
{'Standard Squarts'},0/15,1/4,{4.168245553970337}
{'Standard Squarts'},0/15,1/4,{4.218259811401367}
{'Standard Squarts'},0/15,1/4,{4.263169527053833}
{'Standard Squarts'},0/15,1/4,{4.308448791503906}
{'Standard Squarts'},0/15,1/4,{4.352930068969727}
{'Standard Squarts'},0/15,1/4,{4.3861985206604}
{'Standard Squarts'},0/15,1/4,{4.433151006698608}
{'Standard Squarts'},0/15,1/4,{4.480011463165283}
{'Standard Squarts'},0/15,1/4,{4.527399301528931}
{'Standard Squarts'},0/15,1/4,{4.575215578079224}
{'Standard Squarts'},0/15,1/4,{4.6198718547821045}
{'Standard Squarts'},0/15,1/4,{4.667131423950195}
{'Standard Squarts'},0/15,1/4,{4.714817762374878}
{'Standard Squarts'},0/15,1/4,{4.762337923049927}
{'Standard Squarts'},0/15,1/4,{4.811027765274048}
{'Standard Squarts'},0/15,1/4,{4.858490943908691}
{'Standard Squarts'},0/15,1/4,{4.901349067687988}
{'Standard Squarts'},0/15,1/4,{4.949966907501221}
{'Standard Squarts'},0/15,1/4,{4.994478225708008}
{'Standard Squarts'},0/15,1/4,{5.0272276401519775}
{'Standard Squarts'},0/15,1/4,{5.076553583145142}
{'Standard Squarts'},0/15,1/4,{5.1194891929626465}
{'Standard Squarts'},0/15,1/4,{5.167279243469238}
{'Standard Squarts'},0/15,1/4,{5.213480710983276}
{'Standard Squarts'},0/15,1/4,{5.257446765899658}
{'Standard Squarts'},0/15,1/4,{5.303567409515381}
{'Standard Squarts'},0/15,1/4,{5.3513171672821045}
{'Standard Squarts'},0/15,1/4,{5.3962883949279785}
{'Standard Squarts'},0/15,1/4,{5.444778919219971}
{'Standard Squarts'},0/15,1/4,{5.491002082824707}
{'Standard Squarts'},0/15,1/4,{5.536902666091919}
{'Standard Squarts'},0/15,1/4,{5.583062410354614}
{'Standard Squarts'},0/15,1/4,{5.629690408706665}
{'Standard Squarts'},0/15,1/4,{5.675900936126709}
{'Standard Squarts'},0/15,1/4,{5.723952531814575}
{'Standard Squarts'},0/15,1/4,{5.768201112747192}
{'Standard Squarts'},0/15,1/4,{5.817075729370117}
{'Standard Squarts'},0/15,1/4,{5.860653877258301}
{'Standard Squarts'},0/15,1/4,{5.910268783569336}
{'Standard Squarts'},0/15,1/4,{5.955182313919067}
{'Standard Squarts'},0/15,1/4,{6.003618001937866}
{'Standard Squarts'},0/15,1/4,{6.050158739089966}
{'Standard Squarts'},0/15,1/4,{6.096905708312988}
{'Standard Squarts'},0/15,1/4,{6.146491765975952}
{'Standard Squarts'},0/15,1/4,{6.190415382385254}
{'Standard Squarts'},0/15,1/4,{6.239417552947998}
{'Standard Squarts'},0/15,1/4,{6.28482460975647}
{'Standard Squarts'},0/15,1/4,{6.340430736541748}
{'Standard Squarts'},0/15,1/4,{6.383241891860962}
{'Standard Squarts'},0/15,1/4,{6.428246736526489}
{'Standard Squarts'},0/15,1/4,{6.475331783294678}
{'Standard Squarts'},0/15,1/4,{6.522242784500122}
{'Standard Squarts'},0/15,1/4,{6.569267988204956}
{'Standard Squarts'},0/15,1/4,{6.614822626113892}
{'Standard Squarts'},0/15,1/4,{6.662344217300415}
{'Standard Squarts'},0/15,1/4,{6.712123870849609}
{'Standard Squarts'},0/15,1/4,{6.757120132446289}
{'Standard Squarts'},0/15,1/4,{6.804201364517212}
{'Standard Squarts'},0/15,1/4,{6.84695029258728}
{'Standard Squarts'},0/15,1/4,{6.909258604049683}
{'Standard Squarts'},0/15,1/4,{6.958669185638428}
{'Standard Squarts'},0/15,1/4,{7.004567623138428}
{'Standard Squarts'},0/15,1/4,{7.048790693283081}
{'Standard Squarts'},0/15,1/4,{7.082897424697876}
{'Standard Squarts'},0/15,1/4,{7.129420757293701}
{'Standard Squarts'},0/15,1/4,{7.175715446472168}
{'Standard Squarts'},0/15,1/4,{7.223130941390991}
{'Standard Squarts'},0/15,1/4,{7.268963098526001}
{'Standard Squarts'},0/15,1/4,{7.315699577331543}
{'Standard Squarts'},0/15,1/4,{7.350698947906494}
{'Standard Squarts'},0/15,1/4,{7.397780418395996}
{'Standard Squarts'},0/15,1/4,{7.444615364074707}
{'Standard Squarts'},0/15,1/4,{7.490782022476196}
{'Standard Squarts'},0/15,1/4,{7.536042213439941}
{'Standard Squarts'},0/15,1/4,{7.581775188446045}
{'Standard Squarts'},0/15,1/4,{7.628175973892212}
{'Standard Squarts'},0/15,1/4,{7.675098419189453}
{'Standard Squarts'},0/15,1/4,{7.720410346984863}
{'Standard Squarts'},0/15,1/4,{7.767946720123291}
{'Standard Squarts'},0/15,1/4,{7.814884662628174}
{'Standard Squarts'},0/15,1/4,{7.860637187957764}
{'Standard Squarts'},0/15,1/4,{7.907575607299805}
{'Standard Squarts'},0/15,1/4,{7.954171180725098}
{'Standard Squarts'},0/15,1/4,{8.001820802688599}
{'Standard Squarts'},0/15,1/4,{8.047515630722046}
{'Standard Squarts'},0/15,1/4,{8.10265851020813}
{'Standard Squarts'},0/15,1/4,{8.14564323425293}
{'Standard Squarts'},0/15,1/4,{8.190131664276123}
{'Standard Squarts'},0/15,1/4,{8.239028930664062}
{'Standard Squarts'},0/15,1/4,{8.282904863357544}
{'Standard Squarts'},0/15,1/4,{8.32986569404602}
{'Standard Squarts'},0/15,1/4,{8.362524271011353}
{'Standard Squarts'},0/15,1/4,{8.410325288772583}
{'Standard Squarts'},0/15,1/4,{8.464090347290039}
{'Standard Squarts'},0/15,1/4,{8.505631446838379}
{'Standard Squarts'},0/15,1/4,{8.548619031906128}
{'Standard Squarts'},0/15,1/4,{8.595141410827637}
{'Standard Squarts'},0/15,1/4,{8.644906997680664}
{'Standard Squarts'},0/15,1/4,{8.689839124679565}
{'Standard Squarts'},0/15,1/4,{8.737297296524048}
{'Standard Squarts'},0/15,1/4,{8.782628297805786}
{'Standard Squarts'},0/15,1/4,{8.827001571655273}
{'Standard Squarts'},0/15,1/4,{8.859662055969238}
{'Standard Squarts'},0/15,1/4,{8.906290531158447}
{'Standard Squarts'},0/15,1/4,{8.951319932937622}
{'Standard Squarts'},0/15,1/4,{9.000545740127563}
{'Standard Squarts'},0/15,1/4,{9.046703100204468}
{'Standard Squarts'},0/15,1/4,{9.080517768859863}
{'Standard Squarts'},0/15,1/4,{9.12765383720398}
{'Standard Squarts'},0/15,1/4,{9.177016735076904}
{'Standard Squarts'},0/15,1/4,{9.219985723495483}
{'Standard Squarts'},0/15,1/4,{9.266433954238892}
{'Standard Squarts'},0/15,1/4,{9.312522888183594}
{'Standard Squarts'},0/15,1/4,{9.346615552902222}
{'Standard Squarts'},0/15,1/4,{9.39427924156189}
{'Standard Squarts'},0/15,1/4,{9.440602540969849}
{'Standard Squarts'},0/15,1/4,{9.488726377487183}
{'Standard Squarts'},0/15,1/4,{9.534688711166382}
{'Standard Squarts'},0/15,1/4,{9.578383445739746}
{'Standard Squarts'},0/15,1/4,{9.613068342208862}
{'Standard Squarts'},0/15,1/4,{9.65831708908081}
{'Standard Squarts'},0/15,1/4,{9.706127405166626}
{'Standard Squarts'},0/15,1/4,{9.75100040435791}
