Workout Name,Reps,Set,Time,Rest Time
Standard PushUp,0,1,1:0,0.0
Standard PushUp,1,1,1:1,0.0
Standard PushUp,2,1,1:10,0.0
Standard PushUp,3,1,1:13,0.0
Standard PushUp,4,1,1:18,0.0
Standard PushUp,5,1,1:23,0.0
Standard PushUp,6,1,1:24,0.0
Standard PushUp,7,1,1:27,0.0
Standard PushUp,8,1,1:29,0.0
Standard PushUp,9,1,1:31,0.0
Standard PushUp,10,1,1:35,0.0
Standard PushUp,11,1,1:37,0.0
REST,12,1,1:39,0.0
Standard PushUp,0,2,2:24,45.016316413879395
Standard PushUp,1,2,2:43,45.016316413879395
Standard PushUp,2,2,2:44,45.016316413879395
Standard PushUp,3,2,2:47,45.016316413879395
Standard PushUp,4,2,2:49,45.016316413879395
Standard PushUp,5,2,2:51,45.016316413879395
Standard PushUp,6,2,2:52,45.016316413879395
Standard PushUp,7,2,2:58,45.016316413879395
Standard PushUp,8,2,3:2,45.016316413879395
Standard PushUp,9,2,3:6,45.016316413879395
Standard PushUp,10,2,3:7,45.016316413879395
Standard PushUp,11,2,3:9,45.016316413879395
REST,12,2,3:10,0.0
REST,0,3,3:55,0.0
Standard PushUp,0,4,4:40,45.06619691848755
Standard PushUp,1,4,5:13,45.06619691848755
Standard PushUp,2,4,5:47,45.06619691848755
Standard PushUp,3,4,5:58,45.06619691848755
Standard PushUp,4,4,6:4,45.06619691848755
